Label (Grouping),United States,United States,United States,Alabama,Alabama,Alabama,Alaska,Alaska,Alaska,Arizona,Arizona,Arizona,Arkansas,Arkansas,Arkansas,California,California,California,Colorado,Colorado,Colorado,Connecticut,Connecticut,Connecticut,Delaware,Delaware,Delaware,District of Columbia,District of Columbia,District of Columbia,Florida,Florida,Florida,Georgia,Georgia,Georgia,Hawaii,Hawaii,Hawaii,Idaho,Idaho,Idaho,Illinois,Illinois,Illinois,Indiana,Indiana,Indiana,Iowa,Iowa,Iowa,Kansas,Kansas,Kansas,Kentucky,Kentucky,Kentucky,Louisiana,Louisiana,Louisiana,Maine,Maine,Maine,Maryland,Maryland,Maryland,Massachusetts,Massachusetts,Massachusetts,Michigan,Michigan,Michigan,Minnesota,Minnesota,Minnesota,Mississippi,Mississippi,Mississippi,Missouri,Missouri,Missouri,Montana,Montana,Montana,Nebraska,Nebraska,Nebraska,Nevada,Nevada,Nevada,New Hampshire,New Hampshire,New Hampshire,New Jersey,New Jersey,New Jersey,New Mexico,New Mexico,New Mexico,New York,New York,New York,North Carolina,North Carolina,North Carolina,North Dakota,North Dakota,North Dakota,Ohio,Ohio,Ohio,Oklahoma,Oklahoma,Oklahoma,Oregon,Oregon,Oregon,Pennsylvania,Pennsylvania,Pennsylvania,Rhode Island,Rhode Island,Rhode Island,South Carolina,South Carolina,South Carolina,South Dakota,South Dakota,South Dakota,Tennessee,Tennessee,Tennessee,Texas,Texas,Texas,Utah,Utah,Utah,Vermont,Vermont,Vermont,Virginia,Virginia,Virginia,Washington,Washington,Washington,West Virginia,West Virginia,West Virginia,Wisconsin,Wisconsin,Wisconsin,Wyoming,Wyoming,Wyoming,Puerto Rico,Puerto Rico,Puerto Rico
                Male (2022),"85,304,159","4,048,602",4.7%,"1,187,276","67,812",5.7%,"187,362","8,395",4.5%,"1,850,825","97,950",5.3%,"706,270","38,757",5.5%,"10,198,277","493,837",4.8%,"1,679,874","69,324",4.1%,"949,205","28,544",3.0%,"254,615","7,979",3.1%,"175,815","8,061",4.6%,"5,491,842","271,645",4.9%,"2,710,613","126,327",4.7%,"343,148","12,771",3.7%,"493,557","22,871",4.6%,"3,293,601","133,585",4.1%,"1,764,829","86,268",4.9%,"864,132","44,946",5.2%,"767,216","41,379",5.4%,"1,076,897","64,886",6.0%,"1,034,348","63,538",6.1%,"350,827","11,507",3.3%,"1,611,839","53,748",3.3%,"1,875,914","64,964",3.5%,"2,515,765","123,241",4.9%,"1,569,786","65,164",4.2%,"636,555","40,847",6.4%,"1,542,709","76,316",4.9%,"293,987","15,034",5.1%,"542,942","27,369",5.0%,"819,127","40,495",4.9%,"394,256","8,671",2.2%,"2,475,143","82,684",3.3%,"486,697","34,027",7.0%,"4,901,301","233,213",4.8%,"2,632,804","124,868",4.7%,"215,931","11,794",5.5%,"2,996,916","146,962",4.9%,"976,945","68,584",7.0%,"1,098,122","53,156",4.8%,"3,307,101","132,487",4.0%,"283,259","8,277",2.9%,"1,254,557","65,392",5.2%,"241,764","12,948",5.4%,"1,786,177","86,258",4.8%,"7,896,042","462,514",5.9%,"959,584","41,216",4.3%,"172,645","7,665",4.4%,"2,216,884","84,903",3.8%,"2,091,630","73,622",3.5%,"383,828","23,699",6.2%,"1,587,969","69,284",4.4%,"155,451","8,818",5.7%,"605,367","136,593",22.6%
                Female (2022),"76,207,422","5,129,276",6.7%,"1,079,545","97,769",9.1%,"157,331","7,859",5.0%,"1,576,922","98,183",6.2%,"620,882","53,894",8.7%,"8,662,419","511,039",5.9%,"1,435,813","78,921",5.5%,"884,430","45,022",5.1%,"240,020","10,619",4.4%,"192,858","7,906",4.1%,"4,958,489","333,282",6.7%,"2,535,331","183,252",7.2%,"327,720","16,076",4.9%,"416,397","29,489",7.1%,"2,972,238","190,824",6.4%,"1,557,835","115,177",7.4%,"768,903","56,602",7.4%,"677,335","52,218",7.7%,"970,658","81,929",8.4%,"990,255","105,286",10.6%,"336,154","18,086",5.4%,"1,540,583","75,312",4.9%,"1,780,508","85,945",4.8%,"2,247,157","171,812",7.6%,"1,416,233","83,665",5.9%,"612,538","66,655",10.9%,"1,432,176","98,896",6.9%,"261,936","18,456",7.0%,"473,247","35,229",7.4%,"703,652","47,333",6.7%,"353,713","14,308",4.0%,"2,205,282","105,998",4.8%,"445,385","48,545",10.9%,"4,613,722","298,491",6.5%,"2,465,578","173,102",7.0%,"184,713","15,043",8.1%,"2,727,328","206,568",7.6%,"850,180","77,695",9.1%,"987,852","66,522",6.7%,"3,007,600","180,080",6.0%,"269,009","13,091",4.9%,"1,181,870","95,105",8.0%,"214,822","14,005",6.5%,"1,604,432","112,941",7.0%,"6,626,736","520,813",7.9%,"761,477","48,141",6.3%,"164,846","9,616",5.8%,"2,049,415","126,916",6.2%,"1,759,675","88,974",5.1%,"347,565","29,381",8.5%,"1,423,374","96,392",6.8%,"133,283","10,813",8.1%,"557,508","130,650",23.4%
            Unemployed (2022),"7,144,449","2,175,036",30.4%,"99,375","38,622",38.9%,"16,468","5,097",31.0%,"152,017","49,990",32.9%,"62,123","23,472",37.8%,"1,048,843","290,856",27.7%,"110,538","26,637",24.1%,"88,771","23,313",26.3%,"22,051","6,525",29.6%,"18,648","7,482",40.1%,"429,732","127,772",29.7%,"224,795","68,237",30.4%,"25,169","6,455",25.6%,"27,397","5,202",19.0%,"311,841","97,515",31.3%,"122,348","39,977",32.7%,"48,107","16,609",34.5%,"53,865","19,396",36.0%,"92,275","38,361",41.6%,"116,596","45,504",39.0%,"23,029","5,986",26.0%,"128,244","30,189",23.5%,"152,941","39,524",25.8%,"230,703","75,825",32.9%,"97,850","26,002",26.6%,"63,787","24,973",39.2%,"114,433","38,597",33.7%,"16,860","5,443",32.3%,"22,754","6,635",29.2%,"88,370","23,858",27.0%,"18,883","2,518",13.3%,"248,047","59,373",23.9%,"46,931","20,433",43.5%,"511,165","165,751",32.4%,"196,763","59,634",30.3%,"8,006","2,193",27.4%,"216,740","75,251",34.7%,"79,223","30,660",38.7%,"89,695","26,787",29.9%,"280,955","91,281",32.5%,"26,359","8,572",32.5%,"108,903","36,835",33.8%,"12,615","4,895",38.8%,"120,339","41,847",34.8%,"662,704","187,396",28.3%,"46,856","10,281",21.9%,"9,272","3,292",35.5%,"157,597","44,791",28.4%,"161,493","44,492",27.6%,"36,132","16,055",44.4%,"84,763","25,003",29.5%,"11,078","3,642",32.9%,"127,753","82,470",64.6%
                Male (2022),"3,803,190","1,072,024",28.2%,"46,567","15,363",33.0%,"9,838","2,681",27.3%,"78,427","24,359",31.1%,"30,420","11,443",37.6%,"552,630","149,172",27.0%,"58,973","12,972",22.0%,"49,555","13,140",26.5%,"9,695","3,096",31.9%,"9,865","3,617",36.7%,"222,567","58,815",26.4%,"109,015","28,436",26.1%,"14,325","3,257",22.7%,"17,830","4,002",22.4%,"172,055","52,297",30.4%,"66,575","21,218",31.9%,"25,987","8,006",30.8%,"29,035","10,434",35.9%,"49,976","19,911",39.8%,"59,498","18,958",31.9%,"11,960","3,927",32.8%,"67,066","13,822",20.6%,"82,793","17,086",20.6%,"125,902","37,871",30.1%,"58,338","14,926",25.6%,"30,769","9,450",30.7%,"61,529","17,666",28.7%,"9,761","2,914",29.9%,"11,835","2,845",24.0%,"45,077","11,164",24.8%,"11,171","1,180",10.6%,"128,595","28,445",22.1%,"27,300","11,231",41.1%,"271,846","80,841",29.7%,"101,643","28,481",28.0%,"4,415","1,196",27.1%,"123,474","37,323",30.2%,"42,931","16,363",38.1%,"50,550","14,187",28.1%,"153,466","48,128",31.4%,"13,401","3,635",27.1%,"53,411","16,238",30.4%,"6,950","2,708",39.0%,"59,522","18,801",31.6%,"354,988","93,478",26.3%,"26,123","5,044",19.3%,"5,375","1,793",33.4%,"86,315","23,194",26.9%,"89,646","22,711",25.3%,"19,949","8,432",42.3%,"46,834","13,095",28.0%,"7,422","2,672",36.0%,"62,859","36,638",58.3%
                Female (2022),"3,341,259","1,103,012",33.0%,"52,808","23,259",44.0%,"6,630","2,416",36.4%,"73,590","25,631",34.8%,"31,703","12,029",37.9%,"496,213","141,684",28.6%,"51,565","13,665",26.5%,"39,216","10,173",25.9%,"12,356","3,429",27.8%,"8,783","3,865",44.0%,"207,165","68,957",33.3%,"115,780","39,801",34.4%,"10,844","3,198",29.5%,"9,567","1,200",12.5%,"139,786","45,218",32.3%,"55,773","18,759",33.6%,"22,120","8,603",38.9%,"24,830","8,962",36.1%,"42,299","18,450",43.6%,"57,098","26,546",46.5%,"11,069","2,059",18.6%,"61,178","16,367",26.8%,"70,148","22,438",32.0%,"104,801","37,954",36.2%,"39,512","11,076",28.0%,"33,018","15,523",47.0%,"52,904","20,931",39.6%,"7,099","2,529",35.6%,"10,919","3,790",34.7%,"43,293","12,694",29.3%,"7,712","1,338",17.3%,"119,452","30,928",25.9%,"19,631","9,202",46.9%,"239,319","84,910",35.5%,"95,120","31,153",32.8%,"3,591",997,27.8%,"93,266","37,928",40.7%,"36,292","14,297",39.4%,"39,145","12,600",32.2%,"127,489","43,153",33.8%,"12,958","4,937",38.1%,"55,492","20,597",37.1%,"5,665","2,187",38.6%,"60,817","23,046",37.9%,"307,716","93,918",30.5%,"20,733","5,237",25.3%,"3,897","1,499",38.5%,"71,282","21,597",30.3%,"71,847","21,781",30.3%,"16,183","7,623",47.1%,"37,929","11,908",31.4%,"3,656",970,26.5%,"64,894","45,832",70.6%
    WORK EXPERIENCE (2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Population 16 years and over (2022),"262,803,318","30,597,854",11.6%,"3,963,997","581,538",14.7%,"561,428","56,478",10.1%,"5,835,616","677,507",11.6%,"2,355,174","361,029",15.3%,"30,964,475","3,547,390",11.5%,"4,674,277","422,398",9.0%,"2,883,221","264,915",9.2%,"814,604","69,455",8.5%,"529,118","65,840",12.4%,"18,053,506","2,118,319",11.7%,"8,480,128","977,842",11.5%,"1,145,367","109,625",9.6%,"1,486,223","147,927",10.0%,"9,960,428","1,093,462",11.0%,"5,292,085","617,521",11.7%,"2,481,859","263,511",10.6%,"2,254,197","257,754",11.4%,"3,520,528","535,855",15.2%,"3,543,701","599,011",16.9%,"1,138,069","121,550",10.7%,"4,867,526","445,851",9.2%,"5,605,109","565,057",10.1%,"8,002,293","975,060",12.2%,"4,479,641","416,793",9.3%,"2,253,892","388,279",17.2%,"4,830,364","587,179",12.2%,"894,964","105,976",11.8%,"1,507,360","156,922",10.4%,"2,543,245","293,444",11.5%,"1,145,944","84,611",7.4%,"7,371,042","654,991",8.9%,"1,676,417","271,940",16.2%,"15,733,646","2,077,121",13.2%,"8,418,740","979,665",11.6%,"592,585","66,287",11.2%,"9,255,284","1,139,260",12.3%,"3,072,598","443,812",14.4%,"3,446,625","404,539",11.7%,"10,279,386","1,129,214",11.0%,"877,788","93,369",10.6%,"4,169,304","528,368",12.7%,"691,669","81,774",11.8%,"5,569,637","676,762",12.2%,"22,926,029","2,843,135",12.4%,"2,519,154","203,071",8.1%,"526,911","53,165",10.1%,"6,823,084","683,326",10.0%,"6,222,049","598,898",9.6%,"1,418,016","231,445",16.3%,"4,690,698","479,737",10.2%,"454,317","49,876",11.0%,"2,757,415","1,076,591",39.0%
"            Worked full-time, year-round in the past 12 months (2022)","118,631,137","2,814,592",2.4%,"1,715,878","65,942",3.8%,"250,377","3,839",1.5%,"2,546,633","61,428",2.4%,"1,008,955","32,171",3.2%,"13,380,945","284,348",2.1%,"2,284,859","40,380",1.8%,"1,313,221","17,885",1.4%,"372,115","6,157",1.7%,"294,398","2,851",1.0%,"7,784,401","203,181",2.6%,"3,970,654","109,686",2.8%,"507,509","8,361",1.6%,"636,066","14,466",2.3%,"4,571,541","86,542",1.9%,"2,407,894","57,390",2.4%,"1,191,760","24,551",2.1%,"1,091,617","30,953",2.8%,"1,508,173","49,753",3.3%,"1,514,453","63,673",4.2%,"490,064","8,018",1.6%,"2,425,912","40,837",1.7%,"2,615,785","33,547",1.3%,"3,367,662","77,838",2.3%,"2,111,020","33,937",1.6%,"962,319","42,002",4.4%,"2,213,424","57,502",2.6%,"389,345","10,593",2.7%,"750,826","17,194",2.3%,"1,112,504","28,974",2.6%,"545,595","5,336",1.0%,"3,437,474","57,254",1.7%,"672,806","25,863",3.8%,"6,862,917","145,009",2.1%,"3,843,807","99,561",2.6%,"297,938","6,704",2.3%,"4,153,762","97,436",2.3%,"1,369,817","50,343",3.7%,"1,416,643","28,348",2.0%,"4,638,438","81,293",1.8%,"405,572","5,179",1.3%,"1,805,776","48,476",2.7%,"344,182","8,911",2.6%,"2,545,785","67,184",2.6%,"11,066,315","379,655",3.4%,"1,177,082","19,599",1.7%,"231,175","4,303",1.9%,"3,311,421","64,847",2.0%,"2,782,450","41,637",1.5%,"547,765","15,752",2.9%,"2,172,775","41,383",1.9%,"211,332","6,520",3.1%,"787,531","94,855",12.0%
            Worked part-time or part-year in the past 12 months (2022),"56,645,846","8,826,966",15.6%,"754,417","147,525",19.6%,"149,403","18,638",12.5%,"1,161,606","186,027",16.0%,"432,511","86,585",20.0%,"7,019,707","970,833",13.8%,"1,111,299","152,421",13.7%,"671,234","76,533",11.4%,"167,902","18,232",10.9%,"102,963","18,791",18.3%,"3,470,592","529,504",15.3%,"1,728,172","281,560",16.3%,"240,448","27,544",11.5%,"370,610","53,663",14.5%,"2,198,566","326,162",14.8%,"1,196,481","204,288",17.1%,"576,515","105,438",18.3%,"491,989","91,707",18.6%,"732,800","147,313",20.1%,"695,607","147,581",21.2%,"261,225","30,762",11.8%,"962,652","116,033",12.1%,"1,326,275","160,547",12.1%,"1,832,947","307,757",16.8%,"1,126,821","154,088",13.7%,"408,856","94,501",23.1%,"1,020,129","166,497",16.3%,"220,645","31,460",14.3%,"348,953","59,513",17.1%,"544,353","80,079",14.7%,"264,330","23,939",9.1%,"1,596,442","170,980",10.7%,"354,619","78,860",22.2%,"3,434,611","536,862",15.6%,"1,722,506","273,700",15.9%,"143,504","28,528",19.9%,"2,060,468","359,711",17.5%,"628,252","135,773",21.6%,"861,460","129,458",15.0%,"2,184,279","329,622",15.1%,"192,502","23,734",12.3%,"865,289","158,872",18.4%,"155,228","26,026",16.8%,"1,129,937","187,430",16.6%,"4,650,224","837,612",18.0%,"684,452","89,778",13.1%,"136,595","18,372",13.4%,"1,381,000","210,344",15.2%,"1,434,873","174,965",12.2%,"251,344","57,687",23.0%,"1,082,536","166,075",15.3%,"105,717","17,056",16.1%,"467,588","214,098",45.8%
            Did not work (2022),"87,526,335","18,956,296",21.7%,"1,493,702","368,071",24.6%,"161,648","34,001",21.0%,"2,127,377","430,052",20.2%,"913,708","242,273",26.5%,"10,563,823","2,292,209",21.7%,"1,278,119","229,597",18.0%,"898,766","170,497",19.0%,"274,587","45,066",16.4%,"131,757","44,198",33.5%,"6,798,513","1,385,634",20.4%,"2,781,302","586,596",21.1%,"397,410","73,720",18.6%,"479,547","79,798",16.6%,"3,190,321","680,758",21.3%,"1,687,710","355,843",21.1%,"713,584","133,522",18.7%,"670,591","135,094",20.1%,"1,279,555","338,789",26.5%,"1,333,641","387,757",29.1%,"386,780","82,770",21.4%,"1,478,962","288,981",19.5%,"1,663,049","370,963",22.3%,"2,801,684","589,465",21.0%,"1,241,800","228,768",18.4%,"882,717","251,776",28.5%,"1,596,811","363,180",22.7%,"284,974","63,923",22.4%,"407,581","80,215",19.7%,"886,388","184,391",20.8%,"336,019","55,336",16.5%,"2,337,126","426,757",18.3%,"648,992","167,217",25.8%,"5,436,118","1,395,250",25.7%,"2,852,427","606,404",21.3%,"151,143","31,055",20.5%,"3,041,054","682,113",22.4%,"1,074,529","257,696",24.0%,"1,168,522","246,733",21.1%,"3,456,669","718,299",20.8%,"279,714","64,456",23.0%,"1,498,239","321,020",21.4%,"192,259","46,837",24.4%,"1,893,915","422,148",22.3%,"7,209,490","1,625,868",22.6%,"657,620","93,694",14.2%,"159,141","30,490",19.2%,"2,130,663","408,135",19.2%,"2,004,726","382,296",19.1%,"618,907","158,006",25.5%,"1,435,387","272,279",19.0%,"137,268","26,300",19.2%,"1,502,296","767,638",51.1%
    ALL INDIVIDUALS WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS (2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        50 percent of poverty level (2022),"19,950,754",(X),(X),"375,314",(X),(X),"38,781",(X),(X),"467,291",(X),(X),"244,567",(X),(X),"2,286,251",(X),(X),"277,964",(X),(X),"175,571",(X),(X),"47,312",(X),(X),"51,533",(X),(X),"1,332,739",(X),(X),"677,108",(X),(X),"75,921",(X),(X),"88,138",(X),(X),"763,512",(X),(X),"417,330",(X),(X),"168,266",(X),(X),"160,730",(X),(X),"328,593",(X),(X),"378,290",(X),(X),"66,376",(X),(X),"297,795",(X),(X),"357,755",(X),(X),"641,628",(X),(X),"251,049",(X),(X),"251,066",(X),(X),"380,681",(X),(X),"63,753",(X),(X),"98,685",(X),(X),"205,570",(X),(X),"48,076",(X),(X),"404,263",(X),(X),"163,238",(X),(X),"1,428,088",(X),(X),"620,169",(X),(X),"42,233",(X),(X),"740,040",(X),(X),"287,632",(X),(X),"246,470",(X),(X),"712,221",(X),(X),"54,807",(X),(X),"342,782",(X),(X),"50,154",(X),(X),"429,035",(X),(X),"1,937,366",(X),(X),"128,845",(X),(X),"26,966",(X),(X),"449,345",(X),(X),"412,557",(X),(X),"141,291",(X),(X),"287,418",(X),(X),"28,189",(X),(X),"658,966",(X),(X)
        125 percent of poverty level (2022),"53,141,624",(X),(X),"1,017,774",(X),(X),"101,628",(X),(X),"1,180,218",(X),(X),"656,069",(X),(X),"6,113,359",(X),(X),"703,129",(X),(X),"454,934",(X),(X),"126,131",(X),(X),"105,113",(X),(X),"3,643,723",(X),(X),"1,779,749",(X),(X),"187,890",(X),(X),"278,670",(X),(X),"1,888,957",(X),(X),"1,083,269",(X),(X),"446,186",(X),(X),"444,331",(X),(X),"920,353",(X),(X),"1,054,757",(X),(X),"185,694",(X),(X),"752,672",(X),(X),"883,163",(X),(X),"1,686,138",(X),(X),"694,708",(X),(X),"705,026",(X),(X),"1,035,066",(X),(X),"172,670",(X),(X),"284,060",(X),(X),"526,947",(X),(X),"130,862",(X),(X),"1,123,188",(X),(X),"477,254",(X),(X),"3,455,215",(X),(X),"1,770,917",(X),(X),"107,941",(X),(X),"1,955,282",(X),(X),"803,384",(X),(X),"656,157",(X),(X),"1,924,810",(X),(X),"143,962",(X),(X),"919,945",(X),(X),"140,500",(X),(X),"1,206,150",(X),(X),"5,338,216",(X),(X),"369,951",(X),(X),"84,042",(X),(X),"1,139,670",(X),(X),"990,999",(X),(X),"399,430",(X),(X),"803,809",(X),(X),"87,556",(X),(X),"1,621,521",(X),(X)
        150 percent of poverty level (2022),"66,215,684",(X),(X),"1,248,295",(X),(X),"125,020",(X),(X),"1,492,939",(X),(X),"815,606",(X),(X),"7,613,774",(X),(X),"876,070",(X),(X),"554,499",(X),(X),"155,750",(X),(X),"120,581",(X),(X),"4,633,719",(X),(X),"2,249,375",(X),(X),"232,063",(X),(X),"372,559",(X),(X),"2,345,368",(X),(X),"1,364,891",(X),(X),"564,811",(X),(X),"563,066",(X),(X),"1,128,386",(X),(X),"1,305,944",(X),(X),"235,656",(X),(X),"935,636",(X),(X),"1,082,984",(X),(X),"2,104,664",(X),(X),"879,610",(X),(X),"848,578",(X),(X),"1,290,035",(X),(X),"221,423",(X),(X),"363,404",(X),(X),"660,749",(X),(X),"166,586",(X),(X),"1,385,654",(X),(X),"586,208",(X),(X),"4,148,675",(X),(X),"2,215,422",(X),(X),"133,196",(X),(X),"2,406,561",(X),(X),"998,328",(X),(X),"832,057",(X),(X),"2,398,095",(X),(X),"180,127",(X),(X),"1,151,078",(X),(X),"173,054",(X),(X),"1,523,148",(X),(X),"6,727,574",(X),(X),"471,577",(X),(X),"104,205",(X),(X),"1,416,174",(X),(X),"1,221,605",(X),(X),"476,357",(X),(X),"1,005,895",(X),(X),"108,653",(X),(X),"1,857,267",(X),(X)
        185 percent of poverty level (2022),"84,712,429",(X),(X),"1,572,568",(X),(X),"163,144",(X),(X),"1,937,839",(X),(X),"1,026,237",(X),(X),"9,712,811",(X),(X),"1,151,718",(X),(X),"717,119",(X),(X),"201,285",(X),(X),"139,878",(X),(X),"6,002,166",(X),(X),"2,944,321",(X),(X),"300,752",(X),(X),"490,419",(X),(X),"2,976,696",(X),(X),"1,780,290",(X),(X),"743,651",(X),(X),"737,103",(X),(X),"1,424,521",(X),(X),"1,597,942",(X),(X),"312,594",(X),(X),"1,198,651",(X),(X),"1,351,071",(X),(X),"2,662,612",(X),(X),"1,132,916",(X),(X),"1,054,045",(X),(X),"1,651,246",(X),(X),"291,653",(X),(X),"465,370",(X),(X),"864,748",(X),(X),"221,997",(X),(X),"1,792,401",(X),(X),"714,761",(X),(X),"5,114,015",(X),(X),"2,867,268",(X),(X),"165,539",(X),(X),"3,067,908",(X),(X),"1,289,378",(X),(X),"1,057,069",(X),(X),"3,061,839",(X),(X),"233,369",(X),(X),"1,480,288",(X),(X),"220,928",(X),(X),"1,973,740",(X),(X),"8,600,144",(X),(X),"662,593",(X),(X),"135,655",(X),(X),"1,828,962",(X),(X),"1,567,080",(X),(X),"593,425",(X),(X),"1,320,369",(X),(X),"138,335",(X),(X),"2,134,558",(X),(X)
        200 percent of poverty level (2022),"92,319,944",(X),(X),"1,713,641",(X),(X),"174,988",(X),(X),"2,117,299",(X),(X),"1,114,447",(X),(X),"10,572,958",(X),(X),"1,273,479",(X),(X),"768,507",(X),(X),"222,908",(X),(X),"147,627",(X),(X),"6,584,110",(X),(X),"3,194,151",(X),(X),"324,113",(X),(X),"549,313",(X),(X),"3,227,523",(X),(X),"1,947,879",(X),(X),"814,867",(X),(X),"807,390",(X),(X),"1,545,838",(X),(X),"1,710,593",(X),(X),"350,396",(X),(X),"1,321,686",(X),(X),"1,465,517",(X),(X),"2,879,030",(X),(X),"1,238,999",(X),(X),"1,136,002",(X),(X),"1,798,198",(X),(X),"323,063",(X),(X),"507,649",(X),(X),"947,160",(X),(X),"247,325",(X),(X),"1,950,386",(X),(X),"769,227",(X),(X),"5,506,926",(X),(X),"3,132,734",(X),(X),"181,844",(X),(X),"3,355,981",(X),(X),"1,401,258",(X),(X),"1,147,379",(X),(X),"3,322,587",(X),(X),"248,579",(X),(X),"1,627,959",(X),(X),"240,358",(X),(X),"2,161,809",(X),(X),"9,373,489",(X),(X),"753,049",(X),(X),"152,953",(X),(X),"2,003,411",(X),(X),"1,709,507",(X),(X),"641,593",(X),(X),"1,457,452",(X),(X),"154,807",(X),(X),"2,229,390",(X),(X)
        300 percent of poverty level (2022),"144,681,024",(X),(X),"2,551,694",(X),(X),"298,446",(X),(X),"3,366,080",(X),(X),"1,657,187",(X),(X),"16,376,041",(X),(X),"2,092,468",(X),(X),"1,216,445",(X),(X),"380,590",(X),(X),"205,079",(X),(X),"10,414,941",(X),(X),"4,986,473",(X),(X),"523,714",(X),(X),"917,818",(X),(X),"5,156,699",(X),(X),"3,179,995",(X),(X),"1,364,019",(X),(X),"1,337,397",(X),(X),"2,304,150",(X),(X),"2,443,789",(X),(X),"580,848",(X),(X),"2,093,778",(X),(X),"2,253,129",(X),(X),"4,570,887",(X),(X),"2,086,440",(X),(X),"1,664,593",(X),(X),"2,901,741",(X),(X),"531,093",(X),(X),"841,596",(X),(X),"1,529,542",(X),(X),"433,321",(X),(X),"3,111,378",(X),(X),"1,125,319",(X),(X),"8,110,259",(X),(X),"4,951,075",(X),(X),"317,498",(X),(X),"5,322,369",(X),(X),"2,118,271",(X),(X),"1,824,915",(X),(X),"5,302,816",(X),(X),"389,713",(X),(X),"2,543,812",(X),(X),"405,977",(X),(X),"3,425,396",(X),(X),"14,240,395",(X),(X),"1,352,494",(X),(X),"247,854",(X),(X),"3,171,821",(X),(X),"2,806,852",(X),(X),"943,669",(X),(X),"2,449,587",(X),(X),"259,561",(X),(X),"2,684,136",(X),(X)
        400 percent of poverty level (2022),"189,023,309",(X),(X),"3,243,641",(X),(X),"382,517",(X),(X),"4,428,832",(X),(X),"2,083,569",(X),(X),"21,048,469",(X),(X),"2,845,162",(X),(X),"1,648,252",(X),(X),"534,769",(X),(X),"256,941",(X),(X),"13,488,447",(X),(X),"6,480,915",(X),(X),"722,335",(X),(X),"1,226,538",(X),(X),"6,873,273",(X),(X),"4,175,843",(X),(X),"1,852,246",(X),(X),"1,772,252",(X),(X),"2,929,369",(X),(X),"3,046,504",(X),(X),"789,420",(X),(X),"2,810,674",(X),(X),"3,041,192",(X),(X),"5,995,574",(X),(X),"2,872,620",(X),(X),"2,035,237",(X),(X),"3,794,124",(X),(X),"695,078",(X),(X),"1,146,636",(X),(X),"2,001,615",(X),(X),"618,924",(X),(X),"4,145,484",(X),(X),"1,403,730",(X),(X),"10,423,645",(X),(X),"6,416,017",(X),(X),"426,169",(X),(X),"7,009,865",(X),(X),"2,644,839",(X),(X),"2,405,082",(X),(X),"7,101,267",(X),(X),"533,788",(X),(X),"3,293,506",(X),(X),"546,252",(X),(X),"4,418,745",(X),(X),"18,142,373",(X),(X),"1,919,576",(X),(X),"336,256",(X),(X),"4,287,984",(X),(X),"3,813,185",(X),(X),"1,194,396",(X),(X),"3,369,550",(X),(X),"350,632",(X),(X),"2,898,907",(X),(X)
        500 percent of poverty level (2022),"224,282,143",(X),(X),"3,744,322",(X),(X),"468,621",(X),(X),"5,211,216",(X),(X),"2,378,633",(X),(X),"24,807,249",(X),(X),"3,518,053",(X),(X),"2,039,260",(X),(X),"660,712",(X),(X),"318,829",(X),(X),"15,812,426",(X),(X),"7,634,391",(X),(X),"907,175",(X),(X),"1,440,181",(X),(X),"8,219,460",(X),(X),"4,940,350",(X),(X),"2,254,537",(X),(X),"2,087,146",(X),(X),"3,397,594",(X),(X),"3,469,170",(X),(X),"952,919",(X),(X),"3,478,881",(X),(X),"3,762,594",(X),(X),"7,124,403",(X),(X),"3,584,847",(X),(X),"2,313,495",(X),(X),"4,456,857",(X),(X),"821,077",(X),(X),"1,374,770",(X),(X),"2,336,271",(X),(X),"774,694",(X),(X),"5,111,364",(X),(X),"1,606,572",(X),(X),"12,410,556",(X),(X),"7,546,972",(X),(X),"524,371",(X),(X),"8,336,503",(X),(X),"3,027,922",(X),(X),"2,862,067",(X),(X),"8,568,862",(X),(X),"656,262",(X),(X),"3,823,192",(X),(X),"653,163",(X),(X),"5,158,954",(X),(X),"21,163,535",(X),(X),"2,368,434",(X),(X),"414,645",(X),(X),"5,194,116",(X),(X),"4,703,832",(X),(X),"1,368,797",(X),(X),"4,080,880",(X),(X),"411,011",(X),(X),"3,003,573",(X),(X)
